subject,n_epochs,n_channels,ica_applied,roi_applied,ica_n_excluded,lr_psd_accuracy,lr_psd_std,lr_psd_f1,lr_psd_auc,lr_psd_tuned_accuracy,lr_psd_tuned_best_c,lr_csp_accuracy,lr_csp_std,lr_csp_f1,lr_csp_auc,eegnet_accuracy,eegnet_std,eegnet_f1,eegnet_auc
1,30,64,True,False,1,0.6,0.24944382578492943,0.5982142857142857,0.6205357142857142,0.5333333333333333,0.1,0.9666666666666666,0.1,0.9666295884315907,0.9955357142857143,0.8666666666666666,0.16329931618554522,0.8642533936651584,0.9419642857142857
2,30,64,True,False,2,0.6,0.2,0.6,0.6711111111111111,0.6333333333333333,1.0,0.7333333333333333,0.24944382578492943,0.7321428571428572,0.7911111111111111,0.6333333333333333,0.348010216963685,0.6296296296296295,0.7066666666666666
3,30,64,True,False,3,0.4666666666666666,0.22110831935702666,0.4642857142857143,0.5377777777777778,0.4666666666666667,0.001,0.9333333333333332,0.13333333333333336,0.9333333333333333,0.9955555555555555,0.8333333333333333,0.16666666666666669,0.8331479421579533,0.9244444444444444
