subject,accuracy,cv_mean_accuracy,cv_std_accuracy,f1_macro,auc_roc,cohens_kappa,n_epochs
1,0.6333333333333333,0.6333333333333333,0.23333333333333334,0.6329254727474972,0.6339285714285714,0.2666666666666667,30
2,0.7,0.7,0.17950549357115014,0.696969696969697,0.6977777777777778,0.4,30
3,0.6333333333333333,0.6333333333333333,0.23333333333333334,0.6329254727474972,0.6088888888888888,0.2666666666666667,30
4,0.7333333333333333,0.7333333333333333,0.2905932629027116,0.7321428571428572,0.7946428571428572,0.4642857142857143,30
5,0.6666666666666666,0.6666666666666666,0.29814239699997197,0.6666666666666666,0.7333333333333334,0.33333333333333337,30
